"NAME","F_CLASS","F_DESIG","LAT","LONG","ADM1","ADM2"
"Zhu","P","PPL","  10.8666","  13.4833","Adamwara","Madagali"
"Zhirangwa","P","PPL","  10.4333","  12.2666","Borno","Shani"
"Zhima Kpegi","P","PPL","   9.0833","   6.3166","Niger","Agaie"
"Zhimabekpegi","P","PPL","   9.0833","   6.3166","Niger","Agaie"
"Zhedinyi","T","MT","  10.1500","  12.9833","Adamwara","Hong"
"Zhedinyi","P","PPL","  10.1333","  12.9833","Adamwara","Hong"
"Zheding","P","PPL","  10.2000","  12.9500","Adamwara","Hong"
"Zham","P","PPL","  10.4666","  12.2666","Borno","Shani"
"Zewei","T","MT","   8.5833","  11.9833","Adamwara","Ganye"
"River Zeratan","H","STM","   7.8166","  11.4500","Taraba","Gashaka"
"Zerami","P","PPL","  11.5833","  10.0333","Bauchi","Shira"
"Zenyaku","P","PPL","   7.5833","   8.5500","Benue","Gwer"
"Zente","P","PPL","  11.0166","   5.1333","Niger","Rijau"
"Zenkuwa","P","PPL","   9.7833","   8.2833","Kaduna","ZangonKa"
"Zengem","P","PPL","   7.1333","   8.5833","Benue","Konshish"
"Zendi","P","PPL","   9.8500","   9.2500","Bauchi","Toro"
"Zenda Hyo Igbana","P","PPL","   7.1000","   8.5333","Benue","Konshish"
"Zenabi","P","PPL","  10.7833","   8.7666","Kano","TudunWad"
"Zembel","P","PPL","   7.0166","   8.8000","Benue","Konshish"
"Zelemo","P","PPL","   7.4666","   8.7166","Benue","Gboko"
"Zeledva Hosere","T","HLLS","  11.1500","  13.7666","Borno","Gwoza"
"Zeledva Hills","T","HLLS","  11.1500","  13.7666","Borno","Gwoza"
"Zel","P","PPL","   6.7500","   9.5500","Benue","Kwande"
"Zeken","P","PPL","   9.5166","  11.9000","Adamwara","Numan"
"Zekemo","P","PPL","   7.1500","   8.6833","Benue","Konshish"
"Zei","P","PPL","  12.9666","  11.8666","Yobe","Yunusari"
"Zei","P","PPL","  11.4166","  11.0500","Yobe","Fika"
"Zehi","P","PPL","  10.9666","   8.9166","Bauchi","Ningi"
"Zegi","P","PPL","  13.0666","   4.7000","Kebbi","Argungu"
"Zeggi","P","PPL","  13.0666","   4.7000","Kebbi","Argungu"
"Zeggi","P","PPL","  12.0166","   9.5500","Jigawa","Jahun"
"River Zegewagh","H","STM","   7.6166","  10.1833","Taraba","Donga"
"Zegekaa","P","PPL","   7.1833","   8.9666","Benue","Ushongo"
"Zege","P","PPL","   7.2000","   8.5333","Benue","Konshish"
"Zeddi","P","PPL","  12.1666","  10.9833","Yobe","Bade"
"Zedawa","P","PPL","  12.3000","   8.7333","Kano","Dambatta"
"Zebu","P","PPL","   7.9833","   9.3666","Plateau","Awe"
